ticker,time,sector,open,high,low,close,volume,MA20,MA50,RSI,Vol20,Vol60,return_30,BVPS (VND),Debt/Equity,EPS (VND),Financial Leverage,Fixed Asset-To-Equity,Market Capital (Bn VND),Net Profit Margin (%),Outstanding Share (Mil Shares),Owners' Equity/Charter Capital,P/B,P/Cash Flow,P/E,P/S,ROA (%),ROE (%)
VIC,2022-01-05,Real Estate,50.4,51.1,49.75,50.0,3396500,49.9225,49.265,50.0,2695865.0,2782578.333333333,0.0534007767271152,26130.4687018389,1.6391378045,-92.3301362201606,2.639137804518498,0.751022647511447,364920098456900.0,-0.0116678039368177,3805214791.0,2.12448764684139,3.6700451528,-54.6036918333,86.3491920799,2.8808761314,0.0101266096,0.0294091937
VJC,2022-01-05,Transportation,125.8,125.9,123.0,123.0,570100,124.12,126.512,46.26865671641792,759545.0,835265.0,-0.0706175672139534,31233.1839389277,2.009619255,134.60124091310098,3.0096192549912653,0.047339195404125,67430611083000.0,0.0274702636683648,541611334.0,2.86144158834337,3.9861450002,-10.0831607069,55.5340608704,4.6059785149,0.0244064061,0.0750829819
VNM,2022-01-05,Food & Beverage,68.0,68.16,67.38,67.53,3124600,67.3495,68.4592,49.218750000000014,1643895.0,2724346.6666666665,-0.0011839575158359,14878.9730557395,0.5370593551,1399.9183595117263,1.5370593550728306,0.3854826889185954,174302284113000.0,0.18066923567826,2089955445.0,1.6208440144937637,5.6052255547,17.8827283813,16.5620465703,2.928223606,0.2057036036,0.3097758808
VPB,2022-01-05,Banking,21.18,21.24,20.85,20.85,13262600,20.402,21.2478,55.78703703703705,16107465.0,14201051.666666666,-0.0208835306605775,14019.3157341243,6.6927588666,486.07196846998016,7.692758866601858,0.0276508666734218,147811990117750.0,0.2891026128169423,4445473387.0,0.7855192226976424,2.3717277384,7.5540707495,11.9959643211,3.3640627781,0.0274871559,0.2124621582
VRE,2022-01-05,Real Estate,31.25,33.3,31.25,33.3,10789700,30.8375,30.584,71.0144927536232,7501290.0,7736931.666666667,0.0993724738132035,13419.8582671343,0.2364106391,10.673240111626786,1.236410639132239,0.0143245645216298,73623116484000.0,0.0308031320052581,2272318410.0,1.310920416504265,2.414332503,34.6676744258,33.9731051451,9.4669512312,0.0558496317,0.0719451043
ACB,2022-01-06,Banking,15.71,15.95,15.52,15.83,5673700,15.6625,15.6658,59.88700564971751,3492890.0,4960985.0,-0.046290275814228,15723.261447206,10.2822501692,778.1848287369475,11.282250169218893,0.0858292394240428,88623896860000.0,0.4651277256044726,2701948075.0,0.8270639701371246,2.0860811932,3.461298556,9.1141274869,3.8890290041,0.0210856359,0.2489431803
BCM,2022-01-06,Real Estate,63.53,68.06,62.66,68.06,1644400,61.79350000000001,55.6832,61.88340807174889,861070.0,651978.3333333334,0.2737720188801146,14738.4181068068,1.9585654503,46.933137847343,2.95856545025106,0.076061451657075,70380000000000.0,0.0638125762868032,1035000000.0,1.5758165150285024,4.6137923017,92.9731048141,39.9472934025,11.0552612835,0.0368439782,0.1058245051
BID,2022-01-06,Banking,26.47,28.14,26.29,27.56,5998800,25.854000000000003,25.3328,70.8624708624709,2127605.0,2250096.6666666665,0.0418657175292599,16373.8098332203,18.6083773067,404.8643585549939,19.6083773066604,0.1207010238514171,227127719338400.0,0.1678060537691297,5058523816.0,1.2250934222851284,2.7421840401,8.3391944441,22.7320462563,3.6268963764,0.0062400475,0.1201559249
CTG,2022-01-06,Banking,21.18,21.21,20.78,20.87,11753800,20.327,19.9994,61.9791666666667,8487780.0,10741036.666666666,-0.0161600474874817,19761.9345502745,14.1442505574,511.8392942391656,15.144250557356834,0.1072282520375888,166038683540950.0,0.2491714282067536,4805750609.0,1.23087309705514,1.7483106177,-13.6962436378,10.0460008753,3.1704301,0.0117925428,0.1805922508
DGC,2022-01-06,Material,60.87,61.92,60.67,60.75,613100,64.272,63.0814,21.669477234401384,1230930.0,1439990.0,-0.0674663296855996,28896.218432267,0.3267121017,2796.353453554155,1.32671210166332,0.3949367181154485,22103495043600.0,0.2271179706761291,171079683.0,1.3499852524824116,4.4711732887,13.3906325927,16.7424981777,2.8788005795,0.2107134432,0.2911319297
FPT,2022-01-06,Technology,47.51,47.71,47.46,47.46,1192400,48.096500000000006,48.755,36.950904392764826,1166775.0,1782505.0,-0.0459164546066116,18713.5715789493,1.3737729673,1239.421182415812,2.373772967343956,0.4154152536037004,79955300276900.0,0.1289188045180219,907551649.0,1.1930759173170489,4.7078132375,15.0130068526,19.8599175213,2.3782126916,0.0884844578,0.2039699037
GAS,2022-01-06,Oil & Gas,69.74,70.35,69.01,69.54,828300,65.667,70.7682,61.842105263157904,869520.0,1353806.6666666667,0.0067816434788339,25683.6426776645,0.4587299489,1263.0610132866584,1.4587299488867522,0.372469030614228,204792650000000.0,0.1303697015826429,1913950000.0,2.0801570880221845,4.1660757137,27.7549736072,24.4051826428,2.7548195729,0.1199791172,0.1686508986
GVR,2022-01-06,Material,35.52,36.78,35.33,36.08,4131600,35.499,36.0276,55.813953488372064,3387920.0,4014525.0,0.0369837491746527,12293.7271078463,0.4856898189,310.1343247635,1.4856898188571104,0.6053985863752172,124400000000000.0,0.2016791385050033,4000000000.0,1.335533759910425,2.5297454325,19.6300023508,22.675880152,4.8312633228,0.0692107771,0.1047332777
HDB,2022-01-06,Banking,12.26,12.65,12.2,12.42,6758800,12.143,11.9564,54.96894409937888,5606835.0,6002588.333333333,-0.094431445125636,13813.246209718,10.8330544711,711.1909919183747,11.833054471097633,0.0401765923264838,59460779496000.0,0.4328321056703572,2012209120.0,0.5847854566090457,2.1392509444,2.4833180312,10.5077005486,3.6948012104,0.0169543364,0.2073541074
